time,value
2000-01-01,3.9525705448392485
2000-04-01,3.952742326903601
2000-07-01,3.953085891032305
2000-10-01,3.9536012372253633
2001-01-01,3.9542883654827743
2001-04-01,3.9328478705926795
2001-07-01,3.8892797525550797
2001-10-01,3.8235840113699795
2002-01-01,3.7357606470373765
2002-04-01,3.6739270424894364
2002-07-01,3.638083197726167
2002-10-01,3.6282291127475625
2003-01-01,3.6443647875536263
2003-04-01,3.647873142454657
2003-07-01,3.6387541774506604
2003-10-01,3.6170078925416336
2004-01-01,3.5826342877275756
2004-04-01,3.57183113071098
2004-07-01,3.5845984214918443
2004-10-01,3.6209361600701713
2005-01-01,3.6808443464459586
2005-04-01,3.72326988241795
2005-07-01,3.7482127679861432
2005-10-01,3.755673003150537
2006-01-01,3.745650587911136
2006-04-01,3.7429813866509805
2006-07-01,3.7476653993700677
2006-10-01,3.7597026260684014
2007-01-01,3.7790930667459794
2007-04-01,3.7928120163186816
2007-07-01,3.8008594747865074
2007-10-01,3.8032354421494534
2008-01-01,3.799939918407523
2008-04-01,3.795445741547807
2008-07-01,3.7897529115703024
2008-10-01,3.7828614284750124
2009-01-01,3.7747712922619323
2009-04-01,3.7668267208719914
2009-07-01,3.7590277143051902
2009-10-01,3.7513742725615247
2010-01-01,3.7438663956409948
2010-04-01,3.740916686616455
2010-07-01,3.742525145487897
2010-10-01,3.7486917722553263
2011-01-01,3.7594165669187425
2011-04-01,3.7679398580166774
2011-07-01,3.7742616455491387
2011-10-01,3.7783819295161227
2012-01-01,3.7803007099176313
2012-04-01,3.773347938111252
2012-07-01,3.7575236140969834
2012-10-01,3.7328277378748247
2013-01-01,3.6992603094447793
2013-04-01,3.6905292142949206
2013-07-01,3.7066344524252477
2013-10-01,3.7475760238357605
2014-01-01,3.8133539285264626
2014-04-01,3.8743235189922265
2014-07-01,3.9304847952330597
2014-10-01,3.9818377572489565
2015-01-01,4.028382405039914
2015-04-01,4.089247302140408
2015-07-01,4.164432448550434
2015-10-01,4.253937844269989
2016-01-01,4.357763489299073
2016-04-01,4.455788351591157
2016-07-01,4.5480124311462315
2016-10-01,4.634435727964305
2017-01-01,4.715058242045373
2017-04-01,4.793283950859727
2017-07-01,4.869112854407368
2017-10-01,4.942544952688297
2018-01-01,5.013580245702514
2018-04-01,5.064162264627273
2018-07-01,5.094291009462577
2018-10-01,5.103966480208421
2019-01-01,5.093188676864811
2019-04-01,5.1340020847815255
2019-07-01,5.2264067039585616
2019-10-01,5.370402534395918
2020-01-01,5.5659895760936
2020-04-01,5.703428562335315
2020-07-01,5.782719493121066
2020-10-01,5.8038623684508455
2021-01-01,5.766857188324658
2021-04-01,5.606912240944401
2021-07-01,5.324027526310075
2021-10-01,4.918203044421681
2022-01-01,4.389438795279218
2022-04-01,3.952957577510629
2022-07-01,3.608759391115915
2022-10-01,3.356844236095072
2023-01-01,3.1972121124481045
2023-04-01,3.084074418010161
2023-07-01,3.017431152781243
2023-10-01,2.9972823167613467
2024-01-01,3.0236279099504744
2024-04-01,3.0427149832460234
2024-07-01,3.0545435366479903
2024-10-01,3.059113570156378
2025-01-01,3.0564250837711837
2025-04-01,3.058379655708721
2025-07-01,3.064977285968988
2025-10-01,3.0762179745519846
2026-01-01,3.092101721457712
2026-04-01,3.1040145316370076
2026-07-01,3.111956405089871
2026-10-01,3.1159273418163034
