"quarter_start","CPI","Savings_Rate","TD_3m","TD_12m","Prime_Lending","Max_Lending","GDP_constant_2010"
2000-01-01,29.7266666666667,5.1,12.7333333333333,12.8766666666667,21.4666666666667,27.1333333333333,25284.3286614618
2000-04-01,31.7566666666667,5.13333333333333,12.4666666666667,12.58,21.0333333333333,27.05,25342.7651968771
2000-07-01,33.4933333333333,4.95666666666667,10.86,11.3666666666667,21.2633333333333,26.2633333333333,25459.6382677077
2000-10-01,33.9933333333333,4.95,10.72,11.43,21.3266666666667,26.5866666666667,25634.9478739537
2001-01-01,35.12,4.7,12.6666666666667,13.25,21.4666666666667,25.9666666666667,25868.6940156149
2001-04-01,38.3166666666667,4.9,13.8666666666667,13.82,22.7666666666667,28.0333333333333,26388.8428660335
2001-07-01,39.8366666666667,5.03333333333333,17.2666666666667,18.4,23.7333333333333,28.8,27195.3944252094
2001-10-01,40.0333333333333,5,19.2066666666667,19.7166666666667,25.2433333333333,31.0133333333333,28288.3486931427
2002-01-01,41.4266666666667,5.09,18.62,19.4466666666667,25.4833333333333,31.01,29667.7056698332
2002-04-01,42.8033333333333,3.63333333333333,16.7633333333333,16.83,25.4133333333333,30.5166666666667,30778.0741925762
2002-07-01,44.8433333333333,4.00666666666667,15.5366666666667,15.6333333333333,26.25,31.94,31619.4542613716
2002-10-01,43.9766666666667,3.85,14.3066666666667,14.07,22.2533333333333,27.28,32191.8458762194
2003-01-01,44.7,4.28333333333333,13.7733333333333,13.7933333333333,21.5733333333333,24.1933333333333,32495.2490371196
2003-04-01,47.22,4.5,14.02,12.1666666666667,21.13,22.94,32957.1586866319
2003-07-01,51.38,4.26666666666667,14.86,13.0533333333333,20.4166666666667,22.5533333333333,33577.5748247562
2003-10-01,54.04,3.39,14.59,13.1366666666667,19.7366666666667,21.8333333333333,34356.4974514927
2004-01-01,55.0833333333333,4.45666666666667,15.5366666666667,15.2366666666667,19.51,21.37,35293.9265668412
2004-04-01,55.2866666666667,3.32333333333333,13.07,12.7066666666667,19.3566666666667,20.9766666666667,36123.8755862442
2004-07-01,56.9833333333333,4.56333333333333,13.16,12.5066666666667,18.95,20.4333333333333,36846.3445097016
2004-10-01,59.5833333333333,4.4,13,12.8333333333333,18.91,20.49,37461.3333372134
2005-01-01,61.87,4.33,12.44,13.13,18.4966666666667,20.22,37968.8420687797
2005-04-01,65.1166666666667,4.03666666666667,11.3766666666667,11.4033333333333,18.03,19.3733333333333,38495.1127338943
2005-07-01,71.92,3.61,9.43666666666667,10.0966666666667,17.6366666666667,19.0866666666667,39040.1453325574
2005-10-01,68.5633333333333,3.33,8.87666666666667,8.64666666666667,17.63,19.2866666666667,39603.9398647688
2006-01-01,68.8,3.48,9.25666666666667,8.72333333333333,16.52,18.0866666666667,40186.4963305287
2006-04-01,71.9566666666667,2.96333333333333,9.77,8.73666666666667,16.7666666666667,18.3333333333333,40795.5923846212
2006-07-01,75.0333333333333,2.93333333333333,9.73333333333333,8.06,17.0266666666667,18.5066666666667,41431.2280270464
2006-10-01,73.68,3.14333333333333,10.2466666666667,7.89333333333333,17.26,18.6966666666667,42093.4032578043
2007-01-01,73.44,3.61666666666667,10.2833333333333,8.41666666666667,17.4833333333333,18.7533333333333,42782.1180768948
2007-04-01,75.6266666666667,3.81333333333333,10.3733333333333,8.11333333333333,17.3033333333333,18.1633333333333,43479.7127737732
2007-07-01,78.3233333333333,3.51,10.45,8.12666666666667,16.4833333333333,18.3,44186.1873484393
2007-10-01,77.6766666666667,3.24333333333333,10.0466666666667,7.75,16.4866666666667,18.2366666666667,44901.5418008932
2008-01-01,79.4066666666667,2.88333333333333,10.8666666666667,10.4033333333333,15.4433333333333,18,45625.7761311349
2008-04-01,83.1733333333333,2.84,11.7633333333333,11.5766666666667,15.1933333333333,18.0866666666667,46386.2634107777
2008-07-01,88.5866666666667,2.78666666666667,12.1766666666667,12.36,15.0233333333333,18.4433333333333,47183.0036398216
2008-10-01,89.23,2.83,12.6633333333333,12.7766666666667,14.8833333333333,20.2633333333333,48015.9968182665
2009-01-01,90.78,2.6,13.1,13.43,18.29,22.47,48885.2429461125
2009-04-01,93.6033333333333,2.61666666666667,12.98,13.07,19.0366666666667,22.6,49904.548218806
2009-07-01,98.1866666666667,2.51666666666667,12.5366666666667,13.42,19.2133333333333,22.93,51073.9126363469
2009-10-01,100.5,2.97,13.2166666666667,11.4733333333333,19.4233333333333,22.49,52393.3361987353
2010-01-01,104.356666666667,3.22666666666667,10.6333333333333,8.4,18.8633333333333,23.2366666666667,53862.8189059712
2010-04-01,106.72,2.60333333333333,6.17666666666667,6,18.49,22.6866666666667,55093.2244264771
2010-07-01,111.396666666667,1.50666666666667,4.59666666666667,4.51333333333333,16.9833333333333,22.26,56084.5527602532
2010-10-01,113.236666666667,1.49,4.67666666666667,3.76666666666667,16.0033333333333,21.85,56836.8039072995
2011-01-01,116.863333333333,1.44333333333333,5,4.12333333333333,15.7766666666667,22,57349.9778676159
2011-04-01,118.76,1.37666666666667,5.36666666666667,4.22333333333333,15.7733333333333,22.1066666666667,57887.3963046962
2011-07-01,122.18,1.42,5.37666666666667,4.44666666666667,15.8433333333333,22.26,58449.0592185404
2011-10-01,125.073333333333,1.4,7.02666666666667,6.02666666666667,16.6866666666667,23.2933333333333,59034.9666091485
2012-01-01,131.123333333333,1.52666666666667,7.94,7.08,17.1,23.1433333333333,59645.1184765205
2012-04-01,133.98,1.78333333333333,8.17666666666667,7.22333333333333,16.9366666666667,23.3966666666667,60299.1518328612
2012-07-01,136.726666666667,1.78666666666667,8.56666666666667,6.74666666666667,16.62,23.96,60997.0666781707
2012-10-01,140.08,1.69,8.93666666666667,7.67,16.51,24.6533333333333,61738.8630124488
2013-01-01,142.986666666667,1.72666666666667,8.38666666666667,5.95,16.58,23.8166666666667,62524.5408356958
2013-04-01,145.753333333333,2.03666666666667,7.72333333333333,5.69,16.6233333333333,24.56,63406.1356307163
2013-07-01,148.05,2.43333333333333,7.75,5.08666666666667,16.5933333333333,24.73,64383.6473975105
2013-10-01,151.13,2.48333333333333,7.92,5.41333333333333,17.0933333333333,24.9333333333333,65457.0761360783
2014-01-01,154.173333333333,3.30333333333333,9.41333333333333,9.21333333333333,16.8566666666667,25.7166666666667,66626.4218464197
2014-04-01,157.403333333333,3.41666666666667,9.36666666666667,9.39,16.5666666666667,25.82,67634.5753919885
2014-07-01,160.46,3.36,9.06666666666667,8.63,16.4933333333333,25.6366666666667,68481.5367727847
2014-10-01,163.21,3.44,9.50333333333333,9.4,16.2766666666667,25.8,69167.3059888082
2015-01-01,167.023333333333,3.57,9.4,9.46666666666667,16.8433333333333,26.3033333333333,69691.8830400591
2015-04-01,171.483333333333,3.6,9.28333333333333,8.16333333333333,16.4233333333333,26.56,69937.2366445359
2015-07-01,175.423333333333,3.66,10.3966666666667,11.2833333333333,17.2033333333333,27.01,69903.3668022387
2015-10-01,178.573333333333,3.50333333333333,7.51333333333333,5.8,16.9266666666667,26.9566666666667,69590.2735131673
2016-01-01,185.846666666667,3.28,6.81,5.21,16.6933333333333,26.81,68997.9567773219
2016-04-01,197.663333333333,3.57333333333333,6.90333333333333,5.27333333333333,16.56,26.8466666666667,68622.819372055
2016-07-01,206.16,3.95666666666667,7.70666666666667,5.35333333333333,17.1366666666667,27.2533333333333,68464.8612973669
2016-10-01,211.523333333333,4.18,8.56,9.05,17.0833333333333,28.2566666666667,68524.0825532575
2017-01-01,219.126666666667,4.22333333333333,9.04,10.57,17.1566666666667,29.44,68800.4831397266
2017-04-01,230.323333333333,4.13333333333333,9.29333333333333,10.9533333333333,17.5366666666667,30.6666666666667,69073.1261184238
2017-07-01,239.176666666667,4.08,10.0366666666667,11.1233333333333,17.74,31.1766666666667,69342.011489349
2017-10-01,244.78,4.08,9.84666666666667,10.8133333333333,17.78,31.11,69607.1392525023
2018-01-01,250.36,4.07,10.1333333333333,10.7066666666667,17.46,31.4466666666667,69868.5094078835
2018-04-01,257.426666666667,4.07,9.74666666666667,10.0133333333333,17.0333333333333,31.34,70240.1937068828
2018-07-01,266.003333333333,4.07,9.46666666666667,10.0966666666667,16.69,30.93,70722.1921495
2018-10-01,272.506666666667,4.07,9.46,10.4066666666667,16.4466666666667,30.6633333333333,71314.5047357352
