"time","CPI_Level","Savings_Rate","TD_3m","TD_12m","Prime_Lending","Max_Lending","GDP_constant_2010","unemployment","cpi_yoy","gdp_growth_yoy","d_prime_lending","d_max_lending","d_savings_rate","reconstructed_level","type","pi_lower","pi_upper"
2000-04-01,0.0682888540031398,5.13333333333333,12.4666666666667,12.58,21.0333333333333,27.05,25342.7651968771,12.9099803463527,NA,NA,NA,NA,NA,12.9099803463527,"Observed Historical",NA,NA
2000-07-01,0.0546866799622126,4.95666666666667,10.86,11.3666666666667,21.2633333333333,26.2633333333333,25459.6382677077,13.7644284848447,NA,NA,NA,NA,NA,13.7644284848447,"Observed Historical",NA,NA
2000-10-01,0.0149283439490446,4.95,10.72,11.43,21.3266666666667,26.5866666666667,25634.9478739537,14.1444677921392,NA,NA,NA,NA,NA,14.1444677921392,"Observed Historical",NA,NA
2001-01-01,0.0331437536771918,4.7,12.6666666666667,13.25,21.4666666666667,25.9666666666667,25868.6940156149,14.0500982682363,NA,NA,NA,NA,NA,14.0500982682363,"Observed Historical",NA,NA
2001-04-01,0.0910212604403948,4.9,13.8666666666667,13.82,22.7666666666667,28.0333333333333,26388.8428660335,13.8323111513806,0.332886043690378,0.0412771716515493,1.73333333333333,0.983333333333331,-0.233333333333333,13.8323111513806,"Observed Historical",NA,NA
2001-07-01,0.0396694214876032,5.03333333333333,17.2666666666667,18.4,23.7333333333333,28.8,27195.3944252094,13.4911064415721,-0.274605415523232,0.0681767800174626,2.47,2.53666666666667,0.0766666666666671,13.4911064415721,"Observed Historical",NA,NA
2001-10-01,0.00493682537026187,5,19.2066666666667,19.7166666666667,25.2433333333333,31.0133333333333,28288.3486931427,13.0264841388109,-0.669298524530725,0.103507166553865,3.91666666666667,4.42666666666667,0.0499999999999998,13.0264841388109,"Observed Historical",NA,NA
2002-01-01,0.0348043297252291,5.09,18.62,19.4466666666667,25.4833333333333,31.01,29667.7056698332,12.4384442430969,0.0501022323606051,0.146857497016476,4.01666666666667,5.04333333333333,0.39,12.4384442430969,"Observed Historical",NA,NA
2002-04-01,0.0332314129385259,3.63333333333333,16.7633333333333,16.83,25.4133333333333,30.5166666666667,30778.0741925762,12.2678505875726,-0.634904935640971,0.166329056140325,2.64666666666667,2.48333333333333,-1.26666666666667,12.2678505875726,"Observed Historical",NA,NA
2002-07-01,0.047659839576357,4.00666666666667,15.5366666666667,15.6333333333333,26.25,31.94,31619.4542613716,12.5147031722378,0.201425122654002,0.16267680354219,2.51666666666667,3.14,-1.02666666666667,12.5147031722378,"Observed Historical",NA,NA
2002-10-01,-0.0193265442652197,3.85,14.3066666666667,14.07,22.2533333333333,27.28,32191.8458762194,13.1790019970927,-4.91477170362104,0.13798957392034,-2.99,-3.73333333333333,-1.15,13.1790019970927,"Observed Historical",NA,NA
2003-01-01,0.0164481164253772,4.28333333333333,13.7733333333333,13.7933333333333,21.5733333333333,24.1933333333333,32495.2490371196,14.2607470621372,-0.527411774476605,0.095307112681837,-3.91,-6.81666666666666,-0.806666666666667,14.2607470621372,"Observed Historical",NA,NA
2003-04-01,0.0563758389261744,4.5,14.02,12.1666666666667,21.13,22.94,32957.1586866319,14.9091462633001,0.69646229097941,0.0707998973691886,-4.28333333333333,-7.57666666666666,0.866666666666667,14.9091462633001,"Observed Historical",NA,NA
2003-07-01,0.0880982634476917,4.26666666666667,14.86,13.0533333333333,20.4166666666667,22.5533333333333,33577.5748247562,15.1241996005815,0.848480066882043,0.0619277153615145,-5.83333333333333,-9.38666666666667,0.26,15.1241996005815,"Observed Historical",NA,NA
2003-10-01,0.0517711171662125,3.39,14.59,13.1366666666667,19.7366666666667,21.8333333333333,34356.4974514927,14.9059070739813,-3.67875707398868,0.0672422321974504,-2.51666666666667,-5.44666666666667,-0.46,14.9059070739813,"Observed Historical",NA,NA
2004-01-01,0.0193066864051321,4.45666666666667,15.5366666666667,15.2366666666667,19.51,21.37,35293.9265668412,14.2542686834995,0.173793150888969,0.0861257449211933,-2.06333333333334,-2.82333333333333,0.173333333333334,14.2542686834995,"Observed Historical",NA,NA
2004-04-01,0.00369137670196671,3.32333333333333,13.07,12.7066666666667,19.3566666666667,20.9766666666667,36123.8755862442,13.651905853907,-0.934522008500828,0.0960858589092142,-1.77333333333333,-1.96333333333333,-1.17666666666667,13.651905853907,"Observed Historical",NA,NA
2004-07-01,0.0306885324972868,4.56333333333333,13.16,12.5066666666667,18.95,20.4333333333333,36846.3445097016,13.0988185852038,-0.65165564795147,0.0973497848491219,-1.46666666666667,-2.12,0.296666666666667,13.0988185852038,"Observed Historical",NA,NA
2004-10-01,0.0456273764258555,4.4,13,12.8333333333333,18.91,20.49,37461.3333372134,12.5950068773898,-0.118671202721631,0.0903711412987995,-0.826666666666664,-1.34333333333333,1.01,12.5950068773898,"Observed Historical",NA,NA
2005-01-01,0.0383776223776223,4.33,12.44,13.13,18.4966666666667,20.22,37968.8420687797,12.1404707304651,0.987789182063932,0.07578968287568,-1.01333333333333,-1.15,-0.126666666666667,12.1404707304651,"Observed Historical",NA,NA
2005-04-01,0.0524756209255968,4.03666666666667,11.3766666666667,11.4033333333333,18.03,19.3733333333333,38495.1127338943,11.8624679795092,13.2157317343523,0.0656418257777724,-1.32666666666666,-1.60333333333333,0.713333333333334,11.8624679795092,"Observed Historical",NA,NA
2005-07-01,0.104479140005119,3.61,9.43666666666667,10.0966666666667,17.6366666666667,19.0866666666667,39040.1453325574,11.7609986245221,2.40450101399785,0.0595391714442167,-1.31333333333333,-1.34666666666667,-0.953333333333334,11.7609986245221,"Observed Historical",NA,NA
2005-10-01,-0.0466722284019281,3.33,8.87666666666667,8.64666666666667,17.63,19.2866666666667,39603.9398647688,11.8360626655039,-2.02289967247559,0.0571951486154659,-1.28,-1.20333333333334,-1.07,11.8360626655039,"Observed Historical",NA,NA
2006-01-01,0.00345179639262965,3.48,9.25666666666667,8.72333333333333,16.52,18.0866666666667,40186.4963305287,12.0876601024546,-0.910057054638112,0.0584072134128235,-1.97666666666667,-2.13333333333333,-0.85,12.0876601024546,"Observed Historical",NA,NA
2006-04-01,0.0458817829457364,2.96333333333333,9.77,8.73666666666667,16.7666666666667,18.3333333333333,40795.5923846212,12.273235036253,-0.12565526359773,0.0597603042918562,-1.26333333333334,-1.04,-1.07333333333333,12.273235036253,"Observed Historical",NA,NA
2006-07-01,0.0427572149905036,2.93333333333333,9.73333333333333,8.06,17.0266666666667,18.5066666666667,41431.2280270464,12.3927874668993,-0.590758356276586,0.0612467672474312,-0.609999999999999,-0.579999999999998,-0.676666666666666,12.3927874668993,"Observed Historical",NA,NA
2006-10-01,-0.0180364282541094,3.14333333333333,10.2466666666667,7.89333333333333,17.26,18.6966666666667,42093.4032578043,12.4463173943934,-0.613551165828537,0.0628589832611587,-0.369999999999997,-0.59,-0.186666666666667,12.4463173943934,"Observed Historical",NA,NA
