feature,importance
y_yoy,0.19760947410754512
y_lag4,0.19582350816074653
CPI,0.11828238843287867
GDP_constant_2010,0.09280372181701657
y_lag8,0.09185495333878181
Max_Lending,0.05596812072543759
Savings_Rate,0.0318047488140815
Prime_Lending,0.02949703622865836
TD_3m,0.020317831561698817
TD_12m,0.007523183759947276
