"ref_area.label","source.label","indicator.label","sex.label","classif1.label","time","obs_value","obs_status.label"
"United Kingdom of Great Britain and Northern Ireland","ILO - Modelled Estimates","Unemployment rate by sex and age -- ILO modelled estimates, Nov. 2025 (%)","Total","Age (Youth, adults): 15+","2010",7.973,"Real value"
"United Kingdom of Great Britain and Northern Ireland","ILO - Modelled Estimates","Unemployment rate by sex and age -- ILO modelled estimates, Nov. 2025 (%)","Total","Age (Youth, adults): 15+","2009",7.683,"Real value"
"United Kingdom of Great Britain and Northern Ireland","ILO - Modelled Estimates","Unemployment rate by sex and age -- ILO modelled estimates, Nov. 2025 (%)","Total","Age (Youth, adults): 15+","2008",5.748,"Real value"
"United Kingdom of Great Britain and Northern Ireland","ILO - Modelled Estimates","Unemployment rate by sex and age -- ILO modelled estimates, Nov. 2025 (%)","Total","Age (Youth, adults): 15+","2007",5.399,"Real value"
"United Kingdom of Great Britain and Northern Ireland","ILO - Modelled Estimates","Unemployment rate by sex and age -- ILO modelled estimates, Nov. 2025 (%)","Total","Age (Youth, adults): 15+","2006",5.472,"Real value"
"United Kingdom of Great Britain and Northern Ireland","ILO - Modelled Estimates","Unemployment rate by sex and age -- ILO modelled estimates, Nov. 2025 (%)","Total","Age (Youth, adults): 15+","2005",4.884,"Real value"
"United Kingdom of Great Britain and Northern Ireland","ILO - Modelled Estimates","Unemployment rate by sex and age -- ILO modelled estimates, Nov. 2025 (%)","Total","Age (Youth, adults): 15+","2004",4.594,"Real value"
"United Kingdom of Great Britain and Northern Ireland","ILO - Modelled Estimates","Unemployment rate by sex and age -- ILO modelled estimates, Nov. 2025 (%)","Total","Age (Youth, adults): 15+","2003",4.807,"Real value"
"United Kingdom of Great Britain and Northern Ireland","ILO - Modelled Estimates","Unemployment rate by sex and age -- ILO modelled estimates, Nov. 2025 (%)","Total","Age (Youth, adults): 15+","2002",5.037,"Real value"
"United Kingdom of Great Britain and Northern Ireland","ILO - Modelled Estimates","Unemployment rate by sex and age -- ILO modelled estimates, Nov. 2025 (%)","Total","Age (Youth, adults): 15+","2001",4.696,"Real value"
"United Kingdom of Great Britain and Northern Ireland","ILO - Modelled Estimates","Unemployment rate by sex and age -- ILO modelled estimates, Nov. 2025 (%)","Total","Age (Youth, adults): 15+","2000",5.558,"Real value"
"Nigeria","ILO - Modelled Estimates","Unemployment rate by sex and age -- ILO modelled estimates, Nov. 2025 (%)","Total","Age (Youth, adults): 15+","2026",3.106,
"Nigeria","ILO - Modelled Estimates","Unemployment rate by sex and age -- ILO modelled estimates, Nov. 2025 (%)","Total","Age (Youth, adults): 15+","2025",3.064,
"Nigeria","ILO - Modelled Estimates","Unemployment rate by sex and age -- ILO modelled estimates, Nov. 2025 (%)","Total","Age (Youth, adults): 15+","2024",3.045,
"Nigeria","ILO - Modelled Estimates","Unemployment rate by sex and age -- ILO modelled estimates, Nov. 2025 (%)","Total","Age (Youth, adults): 15+","2023",3.074,"Real value"
"Nigeria","ILO - Modelled Estimates","Unemployment rate by sex and age -- ILO modelled estimates, Nov. 2025 (%)","Total","Age (Youth, adults): 15+","2022",3.827,"Real value"
"Nigeria","ILO - Modelled Estimates","Unemployment rate by sex and age -- ILO modelled estimates, Nov. 2025 (%)","Total","Age (Youth, adults): 15+","2021",5.404,
"Nigeria","ILO - Modelled Estimates","Unemployment rate by sex and age -- ILO modelled estimates, Nov. 2025 (%)","Total","Age (Youth, adults): 15+","2020",5.714,
"Nigeria","ILO - Modelled Estimates","Unemployment rate by sex and age -- ILO modelled estimates, Nov. 2025 (%)","Total","Age (Youth, adults): 15+","2019",5.206,"Real value"
